"suburb","postcode","state","lat","lng"
"Barham","2732","NSW","-35.6055","144.19074"
"Barigan","2850","NSW","-32.50723","149.97998"
"Barkers Vale","2474","NSW","-28.53274","153.12303"
"Barmedman","2668","NSW","-34.12202","147.42794"
"Barneys Reef","2852","NSW","-32.17492","149.50848"
"Barnsley","2278","NSW","-32.9285","151.58519"
"Barooga","3644","NSW","-35.90962","145.69879"
"Barraba","2347","NSW","-30.38628","150.5729"
"Barrack Heights","2528","NSW","-34.56303","150.85485"
"Barrack Point","2528","NSW","-34.56365","150.86931"
"Barraganyatti","2441","NSW","-30.87335","152.91866"
"Barragga Bay","2546","NSW","-36.50366","150.05204"
"Barratta","2710","NSW","-35.20021","144.5329"
"Barren Grounds","2577","NSW","-34.69251","150.73197"
"Barrengarry","2577","NSW","-34.68639","150.52418"
"Barretts Creek","2460","NSW","-29.37252","152.75943"
"Barringella","2540","NSW","-34.91256","150.45694"
"Barrington","2422","NSW","-31.99787","151.90099"
"Barrington Tops","2422","NSW","-31.96215","151.52978"
"Barry","2799","NSW","-33.64883","149.27212"
"Barry","2340","NSW","-31.60187","151.28493"
"Barwang","2594","NSW","-34.44765","148.46803"
"Barwon","2396","NSW","-31.00626","148.9404"
"Baryulgil","2460","NSW","-29.2222","152.61503"
"Basin View","2540","NSW","-35.09274","150.55836"
"Bass Hill","2197","NSW","-33.90028","150.99309"
"Bassendean","2365","NSW","-30.06044","151.182"
"Batar Creek","2439","NSW","-31.67363","152.67762"
"Bateau Bay","2261","NSW","-33.38486","151.47128"
"Batehaven","2536","NSW","-35.7355","150.20024"
"Batemans Bay","2536","NSW","-35.70864","150.16147"
"Bathampton","2795","NSW","-33.49192","149.41364"
"Bathurst","2795","NSW","-33.41899","149.57822"
"Batlow","2730","NSW","-35.55716","148.13702"
"Baulkham Hills","2153","NSW","-33.74634","150.98287"
"Baw Baw","2580","NSW","-34.71011","149.64544"
"Bawley Point","2539","NSW","-35.50793","150.38528"
"Baxters Ridge","2422","NSW","-31.7131","151.90409"
"Bayview","2104","NSW","-33.66062","151.28882"
"Beacon Hill","2100","NSW","-33.75228","151.25889"
"Beaconsfield","2015","NSW","-33.91151","151.20017"
"Bean Creek","2469","NSW","-28.58088","152.58107"
"Bearbong","2827","NSW","-31.66393","148.88117"
"Beaumont","2577","NSW","-34.7792","150.58217"
"Beaumont Hills","2155","NSW","-33.69788","150.94161"
"Beckom","2665","NSW","-34.28041","147.00069"
"Bective","2340","NSW","-31.00416","150.71143"
"Bectric","2665","NSW","-34.50389","147.27451"
"Bedgerabong","2871","NSW","-33.33169","147.7056"
"Beechwood","2446","NSW","-31.44069","152.68173"
"Beecroft","2119","NSW","-33.75342","151.06372"
"Beecroft Peninsula","2540","NSW","-35.04306","150.80854"
"Beelbangera","2680","NSW","-34.2383","146.10727"
"Beemunnel","2824","NSW","-31.67201","147.8597"
"Bega","2550","NSW","-36.6858","149.84245"
"Beggan Beggan","2587","NSW","-34.65588","148.2917"
"Belanglo","2577","NSW","-34.51271","150.22493"
"Belbora","2422","NSW","-31.97933","152.17972"
"Belfield","2191","NSW","-33.90421","151.08616"
"Belford","2335","NSW","-32.6689","151.28449"
"Belfrayden","2650","NSW","-35.11674","147.05518"
"Belgravia","2800","NSW","-33.10567","149.02988"
"Belimbla Park","2570","NSW","-34.08347","150.53846"
"Bell","2786","NSW","-33.50034","150.3026"
"Bella Vista","2153","NSW","-33.74234","150.95464"
"Bellambi","2518","NSW","-34.36919","150.91519"
"Bellangry","2446","NSW","-31.32645","152.58075"
"Bellata","2397","NSW","-29.92068","149.7759"
"Bellawongarah","2535","NSW","-34.75919","150.6209"
"Bellbird","2325","NSW","-32.85495","151.31703"
"Bellbird Heights","2325","NSW","-32.8488","151.33092"
"Bellbrook","2440","NSW","-30.73694","152.48371"
"Bellevue Hill","2023","NSW","-33.87976","151.25633"
"Bellimbopinni","2440","NSW","-31.00705","152.90187"
"Bellingen","2454","NSW","-30.45402","152.89238"
"Bellmount Forest","2581","NSW","-34.90315","149.26699"
"Belltrees","2337","NSW","-31.95092","151.10308"
"Belmont","2280","NSW","-33.03184","151.67866"
"Belmont North","2280","NSW","-33.01346","151.6726"
"Belmont South","2280","NSW","-33.05327","151.66178"
"Belmore","2192","NSW","-33.91942","151.08774"
"Belmore River","2440","NSW","-31.08606","152.97372"
"Beloka","2628","NSW","-36.54938","148.70413"
"Belowra","2545","NSW","-36.10093","149.68513"
"Belrose","2085","NSW","-33.72159","151.21169"
"Bemboka","2550","NSW","-36.61579","149.5671"
"Ben Bullen","2790","NSW","-33.23316","150.03374"
"Ben Lomond","2365","NSW","-30.00596","151.66567"
"Benandarah","2536","NSW","-35.64825","150.2155"
"Bendalong","2539","NSW","-35.23197","150.50217"
"Bendemeer","2355","NSW","-30.80372","151.17758"
"Bendick Murrell","2803","NSW","-34.18666","148.44808"
"Bendolba","2420","NSW","-32.34933","151.73101"
"Bendoura","2622","NSW","-35.53694","149.67845"
"Benerembah","2680","NSW","-34.39946","145.82854"
"Bengalla","2333","NSW","-32.28889","150.82479"
"Bennetts Green","2290","NSW","-32.99976","151.6984"
"Benolong","2818","NSW","-32.50647","148.66865"
"Bensville","2251","NSW","-33.49914","151.39045"
"Bentley","2480","NSW","-28.75617","153.09521"
"Berala","2141","NSW","-33.87461","151.03345"
"Berambing","2758","NSW","-33.53268","150.44882"
"Beresfield","2322","NSW","-32.80296","151.64384"
"Bergalia","2537","NSW","-35.98126","150.08965"
"Berkeley","2506","NSW","-34.48138","150.84403"
"Berkeley Vale","2261","NSW","-33.34073","151.42855"
"Berkshire Park","2765","NSW","-33.66843","150.7758"
"Berlang","2622","NSW","-35.68072","149.68606"
"Bermagui","2546","NSW","-36.42695","150.03923"
"Berowra","2081","NSW","-33.62806","151.15004"
"Berowra Creek","2082","NSW","-33.54482","151.14075"
"Berowra Heights","2082","NSW","-33.60156","151.136"
"Berowra Waters","2082","NSW","-33.60391","151.11928"
"Berrambool","2548","NSW","-36.88087","149.91027"
"Berrara","2540","NSW","-35.20623","150.54884"
"Berremangra","2582","NSW","-34.79534","148.4836"
"Berrico","2422","NSW","-32.0896","151.7766"
"Berridale","2628","NSW","-36.37827","148.82348"
"Berrigal","2390","NSW","-29.96957","150.11283"
"Berrigan","2712","NSW","-35.65031","145.82832"
"Berrilee","2159","NSW","-33.60801","151.10494"
"Berrima","2577","NSW","-34.47274","150.33233"
"Berringer Lake","2539","NSW","-35.25129","150.50443"
"Berry","2535","NSW","-34.79947","150.72336"
"Berry Jerry","2701","NSW","-34.71067","147.23856"
"Berry Mountain","2535","NSW","-34.76591","150.65159"
"Berry Park","2321","NSW","-32.74254","151.65873"
"Berthong","2594","NSW","-34.38949","148.10716"
"Beryl","2852","NSW","-32.32254","149.45547"
"Bethungra","2590","NSW","-34.76583","147.82635"
"Bevendale","2581","NSW","-34.52875","149.08451"
"Beverley Park","2217","NSW","-33.97729","151.13054"
"Beverly Hills","2209","NSW","-33.94831","151.07815"
"Bewong","2540","NSW","-35.08161","150.53459"
"Bexhill","2480","NSW","-28.75585","153.35213"
"Bexley","2207","NSW","-33.95213","151.1183"
"Bexley North","2207","NSW","-33.94238","151.11532"
"Biala","2581","NSW","-34.59402","149.26432"
"Bibbenluke","2632","NSW","-36.80692","149.3071"
"Biddon","2827","NSW","-31.55309","148.79048"
"Bidgeemia","2642","NSW","-35.40005","146.4542"
"Bidwill","2770","NSW","-33.73005","150.82062"
"Bielsdown Hills","2453","NSW","-30.37186","152.6712"
"Big Hill","2579","NSW","-34.54409","149.98958"
"Big Jacks Creek","2339","NSW","-31.76369","150.61048"
"Big Ridge","2330","NSW","-32.57581","151.22581"
"Big Springs","2650","NSW","-35.35247","147.4131"
"Bigga","2583","NSW","-34.05173","149.13187"
"Bilambil","2486","NSW","-28.22451","153.47343"
"Bilambil Heights","2486","NSW","-28.21011","153.48302"
"Bilbul","2680","NSW","-34.28397","146.15673"
"Bilgola Beach","2107","NSW","-33.64346","151.32788"
"Bilgola Plateau","2107","NSW","-33.64514","151.3159"
"Billeroy","2829","NSW","-30.61437","148.45321"
"Billilingra","2630","NSW","-36.01595","149.11045"
"Billimari","2804","NSW","-33.67577","148.61579"
"Billinudgel","2483","NSW","-28.50534","153.51363"
"Billys Creek","2453","NSW","-30.16629","152.57405"
"Billywillinga","2795","NSW","-33.28651","149.43743"
"Bilpin","2758","NSW","-33.44494","150.55514"
"Bimberi","2611","NSW","-35.58274","148.70121"
"Bimbi","2810","NSW","-34.00749","147.93729"
"Bimbimbie","2536","NSW","-35.8386","150.11675"
"Binalong","2584","NSW","-34.65812","148.66745"
"Binda","2583","NSW","-34.30764","149.2876"
"Bindera","2422","NSW","-32.02428","151.82522"
"Bingara","2404","NSW","-29.82476","150.57123"
"Bingeebeebra Creek","2469","NSW","-28.80705","152.78154"
"Bingie","2537","NSW","-36.02063","150.14516"
"Bingleburra","2311","NSW","-32.37624","151.61594"
