"price","dateSold","address","suburb","state","beds","baths","parking","propertyType","landSize"
"3100000","2021-12-16","12 Lemana Lane BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","5","House","516"
"1545000","2022-01-18","59 Skyline Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","4","House","991"
"1710000","2022-01-09","43 Elanora Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","3","House","516"
"2625000","2021-12-29","28 George Street East BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","526"
"1450000","2022-01-18","14 Reserve Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","417"
"2650000","2022-02-03","5B Vantage Point Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","994"
"995000","2022-01-24","2/62 Hill Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","2","1","Duplex","0"
"1250000","2021-12-17","24/28 Vantage Point Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","559"
"1770000","2022-02-03","28 Sky Royal Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","2","House","1161"
"1020000","2022-01-13","Lot 9 Marlee Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","601"
"1000000","2022-01-27","8 Glauca Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","816"
"1290000","2022-02-14","3 Starling Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","310"
"1140000","2022-01-16","2/2 Deodar Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","0"
"1735000","2022-01-26","5 Pindari Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","405"
"920000","2022-01-13","8 Marlee Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","648"
"4310000","2022-01-31","7 Tawarri Crescent BURLEIGH HEADS","BURLEIGH HEADS","QLD","6","3","2","House","536"
"1350000","2022-01-20","3 Alex Keith Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","646"
"2300000","2022-02-12","8 Bullimah Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","1","1","House","549"
"1300000","2022-03-12","4 Skyline Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","3","2","House","754"
"3050000","2022-03-04","4 Cotton Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","405"
"805000","2021-10-04","18 Matthew Close BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","600"
"1425000","2021-09-27","8 Maitland Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","4","House","607"
